idx,claim_id,claim,ground_truth,pred_label,total_tokens,prompt_tokens,completion_tokens,total_cost_usd,e2e_latency_sec,triage_latency,retrieval_text_latency,retrieval_visual_latency,factual_verifier_latency,generator_latency,text_retrieval_calls,image_retrieval_calls,hallucination_free,claim_support_consistency,verdict_factual,verdict_entity,verdict_spatiotemporal,verdict_visual
6,106489,Says San Antonio has 'the lowest per capita income of any major Texas city.,supported,Refuted,2795,2302,493,0.004751,8.6187,1.7517,0.0007,,1.4081,2.2969,1,0,0,0,Refuted,Refuted,Refuted,Supported
18,115510,There's a 'direct correlation' between North Carolina's mask requirement and COVID-19 stabilization.,supported,NEI,3006,2392,614,0.005876,11.1063,1.4108,0.004,,1.8184,3.745,1,0,0,0,Supported,Supported,NEI,NEI
7,103487,Opposition to having a fully elected Chicago Board of Education is in the 'super minority.,supported,Supported,2864,2339,525,0.005121,9.3539,1.5119,0.0008,,1.5407,3.0671,1,0,0,1,Supported,Supported,NEI,Supported
19,118307,'Nancy Mace denies climate change.,supported,NEI,2246,1749,497,0.004788,9.869,1.3969,0.0006,,1.3781,3.2397,1,0,1,0,Refuted,Supported,NEI,NEI
8,102664,"In COVID-19 crisis, 'only 20% of African Americans had jobs where they could work from home.",supported,Supported,4080,3600,480,0.004828,11.4855,2.0637,0.0116,,1.7076,4.6891,1,0,1,1,Supported,Supported,Supported,Supported
20,100640,"Every time outgoing New York Gov. Andrew Cuomo 'says the firearm industry 'is immune from lawsuits,' it's false.",supported,NEI,3730,3116,614,0.00583,11.5818,1.7249,0.0221,,1.654,4.1628,1,0,1,0,Supported,Refuted,NEI,NEI
9,117115,'Overdose deaths in WV are up 45% from the prior year.,supported,Supported,2996,2489,507,0.004915,7.8038,1.7927,0.0007,,1.1532,2.0174,1,0,0,1,Supported,Supported,Supported,Supported
21,117654,"Says President Trump said coronavirus testing makes the U.S. look bad, 'so I said to my people, 'Slow the testing down.",supported,NEI,2481,1910,571,0.005386,10.6974,1.4418,0.0012,,2.05,3.6976,1,0,1,1,Supported,Supported,NEI,NEI
10,102308,"During the 1918 flu pandemic, San Francisco residents formed the 'Anti-Mask League.' San Francisco 'was ultimately one of the cities that suffered the most with a high death rate.",supported,Supported,3053,2453,600,0.005522,10.3745,1.5902,0.0066,,1.6922,3.8119,1,0,1,1,Supported,Supported,Supported,Supported
22,105430,"'Pelosi's new coronavirus bill allows illegals to receive billions in relief funds in past, current, and future payments.",supported,NEI,2588,1985,603,0.00559,10.6464,1.4944,0.0013,,1.8098,3.2343,1,0,1,1,Supported,Supported,NEI,NEI
11,118205,"After the American Rescue Plan's food and nutrition assistance, 'hunger is already sharply down in the United States.",supported,Supported,2974,2410,564,0.0054,9.5034,1.777,0.001,,1.5818,2.8618,1,0,1,1,Supported,Supported,Supported,Supported
23,120262,'86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.,supported,NEI,2334,1745,589,0.005607,10.0021,1.4448,0.0009,,1.272,3.5828,1,0,1,0,Supported,NEI,NEI,NEI
12,112432,'Car thefts (are) increasing in 8 of the 10 most populous (Wisconsin) counties.,supported,Refuted,2959,2431,528,0.004911,11.0922,1.5977,0.0007,,3.293,3.3463,1,0,0,0,Refuted,Refuted,Refuted,Supported
24,112353,"Says Rebecca Kleefisch played a key role in the Foxconn deal, 'the largest attempted government handout to a foreign company in American history.",supported,NEI,2529,1932,597,0.005541,10.8708,1.4334,0.0011,,1.5514,4.0915,1,0,0,0,Supported,Supported,NEI,NEI
13,100730,The Biden administration's American Jobs Plan will be 'the biggest non-defense investment in research and development in the history of our country.,supported,Supported,3014,2430,584,0.005547,11.3411,1.2756,0.001,,2.0271,5.3995,1,0,1,1,Supported,Supported,NEI,Supported
25,106406,'Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.,supported,NEI,2357,1797,560,0.005329,10.3415,1.5135,0.0008,,1.6937,3.4921,1,0,0,1,Supported,Supported,NEI,NEI
14,100723,'I've released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn't released one.,supported,Supported,3525,3021,504,0.00496,10.391,1.6187,0.0028,,1.5108,4.2249,1,0,1,1,Supported,Supported,Supported,Supported
26,106563,"A Marine painted his house red, white and blue after he 'was told by his neighbors that he could not fly the American flag in his yard all year long.",refuted,Refuted,2404,1851,553,0.005244,10.3449,1.3751,0.0013,,1.3144,3.9687,1,0,1,1,Refuted,Refuted,Refuted,NEI
15,102469,'Wisconsin is the only state where all Republicans voted against protecting its citizens.,supported,Supported,2717,2227,490,0.004879,8.6176,1.8024,0.0007,,1.6903,2.7564,1,0,0,0,Refuted,Supported,NEI,Supported
27,116053,'Walmart has just pledged $100 million to Black Lives Matter.,refuted,Refuted,2052,1614,438,0.004166,8.586,1.5459,0.0006,,1.6671,1.9526,1,0,1,1,Refuted,Refuted,Refuted,NEI
16,106314,Photos show six fires around the world 'in the last 24 hours.,supported,Refuted,2947,2469,478,0.004692,10.5263,2.1303,0.0045,,1.1168,2.1914,1,0,0,0,Refuted,Refuted,Refuted,Supported
28,100186,"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.",refuted,NEI,4145,3473,672,0.006379,11.1936,1.9736,0.0183,,2.0432,3.8004,1,0,1,1,Refuted,NEI,NEI,NEI
17,107001,"Insulin prices have 'gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.",supported,Supported,3023,2466,557,0.005359,9.8404,1.3379,0.0009,,1.4875,4.1513,1,0,1,1,Supported,Supported,NEI,Supported
18,115510,There's a 'direct correlation' between North Carolina's mask requirement and COVID-19 stabilization.,supported,Supported,3688,3045,643,0.006045,9.7745,1.7767,0.0039,,1.9245,3.1671,1,0,1,1,Supported,Supported,Supported,Supported
29,109728,A screenshot shows Tucker Carlson announcing he'll 'be starting at NewsMax next month.,refuted,NEI,2416,1731,685,0.006661,12.0645,1.7228,0.0007,,1.4549,4.2617,1,0,1,1,Refuted,Refuted,NEI,NEI
19,118307,'Nancy Mace denies climate change.,supported,Supported,2887,2374,513,0.004974,8.7636,1.2239,0.0006,,1.5605,2.9675,1,0,0,0,Refuted,Supported,NEI,Supported
30,117769,"Says Emmanuel Macron said, 'I no longer have any intention of sacrificing my life, my time, my freedom and the adolescence of my daughters, as well as their right to study properly, for those who refuse to be vaccinated.",refuted,NEI,2478,1970,508,0.005216,9.6737,1.4139,0.0014,,1.2351,3.8609,1,0,1,1,Refuted,Refuted,NEI,NEI
20,100640,"Every time outgoing New York Gov. Andrew Cuomo 'says the firearm industry 'is immune from lawsuits,' it's false.",supported,Supported,4309,3723,586,0.005681,10.042,1.5321,0.0216,,2.2213,3.0701,1,0,1,0,Supported,Refuted,NEI,Supported
31,107093,Says Kayleigh McEnany is John F. Kennedy Jr.'s daughter.,refuted,Refuted,2160,1629,531,0.004927,9.8205,1.4761,0.0005,,1.2262,2.796,1,0,1,1,Refuted,Refuted,Refuted,NEI
21,117654,"Says President Trump said coronavirus testing makes the U.S. look bad, 'so I said to my people, 'Slow the testing down.",supported,Supported,3141,2527,614,0.005859,9.4077,1.7986,0.0012,,1.7417,2.92,1,0,1,1,Supported,Supported,Supported,Supported
32,117996,Says North Carolina's 'Democratic Secretary of State' controls the state's elections.,refuted,Refuted,2335,1850,485,0.00446,10.6221,1.2956,0.0009,,2.9201,2.0703,1,0,1,1,Refuted,Refuted,Refuted,NEI
22,105430,"'Pelosi's new coronavirus bill allows illegals to receive billions in relief funds in past, current, and future payments.",supported,Supported,3174,2593,581,0.005494,10.2545,2.0035,0.0013,,1.9007,2.9828,1,0,0,0,Supported,Supported,Supported,Supported
33,104160,'They're furloughing nurses in hospitals in western New York state.,refuted,Refuted,2152,1664,488,0.004559,9.8189,1.8472,0.0007,,1.5157,2.158,1,0,1,1,Refuted,Refuted,Refuted,NEI
23,120262,'86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.,supported,Supported,2996,2384,612,0.005841,10.8797,1.4923,0.0009,,1.6598,4.9308,1,0,0,0,Supported,Supported,NEI,Supported
34,110720,'Replacing marriage licenses with domestic union contracts does not alter state or federal benefits.,refuted,NEI,2261,1719,542,0.005267,12.296,1.6243,0.0007,,1.5778,3.1181,1,0,1,1,Refuted,Refuted,NEI,NEI
24,112353,"Says Rebecca Kleefisch played a key role in the Foxconn deal, 'the largest attempted government handout to a foreign company in American history.",supported,Supported,3139,2554,585,0.005533,11.8815,1.465,0.001,,1.9212,5.4442,1,0,0,0,Supported,Supported,Supported,Supported
35,119995,Says Deputy Comptroller Aycha Sawa 'blocked an audit' of the Milwaukee lead program for three years that 'put our children in danger' and spurred a criminal investigation.,refuted,NEI,4169,3561,608,0.005843,10.669,1.6141,0.012,,1.6281,3.647,1,0,1,1,Refuted,NEI,NEI,NEI
25,106406,'Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.,supported,Supported,2972,2415,557,0.005373,9.6196,1.7396,0.0008,,2.0173,3.0004,1,0,1,1,Supported,Supported,NEI,Supported
36,107840,Photo shows Bill Clinton among others not wearing a mask at John Lewis' funeral.,refuted,Refuted,2067,1577,490,0.004537,11.4723,2.9398,0.0007,,1.4654,2.7698,1,0,1,1,Refuted,Refuted,Refuted,NEI
26,106563,"A Marine painted his house red, white and blue after he 'was told by his neighbors that he could not fly the American flag in his yard all year long.",refuted,Refuted,3214,2482,732,0.007037,11.6728,1.7925,0.0012,,2.2586,4.5442,1,0,1,1,Refuted,Refuted,Refuted,Supported
37,106255,"CNN reported, 'Due to COVID-19, President Donald Trump passes away at 74.",refuted,Refuted,2105,1614,491,0.00479,9.8405,1.4685,0.0006,,1.0202,2.5967,1,0,1,1,Refuted,Refuted,Refuted,NEI
27,116053,'Walmart has just pledged $100 million to Black Lives Matter.,refuted,Refuted,2688,2203,485,0.004891,8.5562,1.679,0.0007,,1.4194,2.4881,1,0,1,1,Refuted,Refuted,Refuted,Supported
38,113082,"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin",refuted,NEI,2476,1830,646,0.006011,13.3297,1.5272,0.0008,,1.5967,5.7843,1,0,1,1,Refuted,Refuted,NEI,NEI
28,100186,"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.",refuted,Supported,4801,4081,720,0.006954,12.6602,1.5223,0.0182,,3.3575,3.7422,1,0,1,1,Refuted,Supported,NEI,Supported
39,106716,Says the surge in COVID-19 cases is caused by 'antibody mediated viral enhancement' from the COVID-19 vaccines.,refuted,NEI,2386,1825,561,0.005266,10.9088,1.9554,0.0008,,1.7214,2.8469,1,0,1,1,Refuted,Refuted,NEI,NEI
29,109728,A screenshot shows Tucker Carlson announcing he'll 'be starting at NewsMax next month.,refuted,Refuted,2872,2354,518,0.005021,9.9294,1.6959,0.0007,,1.5972,2.6885,1,0,1,1,Refuted,Refuted,Refuted,Supported
40,119015,"'Antifa now banging on residents' doors in Seattle, demanding food & supplies. If they don't get it, the house gets vandalized.",refuted,Refuted,2351,1801,550,0.005143,11.3154,1.9126,0.0009,,1.5786,3.0982,1,0,1,1,Refuted,Refuted,Refuted,NEI
30,117769,"Says Emmanuel Macron said, 'I no longer have any intention of sacrificing my life, my time, my freedom and the adolescence of my daughters, as well as their right to study properly, for those who refuse to be vaccinated.",refuted,Refuted,3169,2622,547,0.005464,10.3446,1.8969,0.0014,,1.7172,3.4952,1,0,1,1,Refuted,Refuted,Refuted,Supported
41,118792,Video shows Joe Biden stuttering after being asked about touching women 'without their permission' on The View.,refuted,NEI,2207,1704,503,0.004663,10.295,1.6046,0.001,,2.3485,2.2928,1,0,1,1,Refuted,Refuted,NEI,NEI
31,107093,Says Kayleigh McEnany is John F. Kennedy Jr.'s daughter.,refuted,Refuted,2772,2246,526,0.004901,9.3515,1.7492,0.0005,,1.8045,2.6361,1,0,1,1,Refuted,Refuted,Refuted,Supported
42,100049,Says wearing masks has been 'proven ineffective.,refuted,NEI,3956,3387,569,0.005578,10.619,1.3859,0.0208,,1.7336,3.0305,1,0,1,1,Refuted,NEI,NEI,NEI
32,117996,Says North Carolina's 'Democratic Secretary of State' controls the state's elections.,refuted,Refuted,3017,2470,547,0.005131,10.6912,1.7952,0.0009,,1.6522,2.7715,1,0,1,1,Refuted,Refuted,Refuted,Supported
43,111570,'The American military has been completely rebuilt under my administration at a cost of $2.5 trillion.,refuted,NEI,3036,2544,492,0.004583,10.1781,1.9707,0.0017,,1.7696,1.9209,1,0,1,1,Refuted,Refuted,NEI,NEI
33,104160,'They're furloughing nurses in hospitals in western New York state.,refuted,Refuted,2791,2283,508,0.004844,9.3121,1.8885,0.0006,,1.3928,2.4722,1,0,1,1,Refuted,Refuted,Refuted,Supported
44,117112,An image shows the Blue Angels performing a maneuver called the 'Hand of God.,refuted,NEI,2042,1559,483,0.004528,11.8741,2.6566,0.0007,,1.5405,3.0934,1,0,1,1,Refuted,Refuted,NEI,NEI
34,110720,'Replacing marriage licenses with domestic union contracts does not alter state or federal benefits.,refuted,Refuted,2853,2352,501,0.004808,10.1648,2.6049,0.0007,,1.5206,3.1491,1,0,1,1,Refuted,Refuted,NEI,Supported
45,101039,"'500 National Guardsmen being called to Kenosha ahead of the Rittenhouse verdict. Had they done this in the first place, there wouldn't have been a trial.",refuted,NEI,2279,1730,549,0.004948,10.6806,1.6335,0.001,,1.9493,2.9305,1,0,0,1,Refuted,Refuted,NEI,NEI
35,119995,Says Deputy Comptroller Aycha Sawa 'blocked an audit' of the Milwaukee lead program for three years that 'put our children in danger' and spurred a criminal investigation.,refuted,Refuted,5000,4178,822,0.008045,10.9302,1.4965,0.0114,,1.84,4.751,1,0,1,1,Refuted,Refuted,NEI,Supported
46,104322,Doctors and nurses who administer the coronavirus vaccine can be 'tried as war criminals.,refuted,NEI,2188,1684,504,0.0049,10.1769,2.2272,0.0007,,2.0123,2.6169,1,0,1,1,Refuted,NEI,NEI,NEI
36,107840,Photo shows Bill Clinton among others not wearing a mask at John Lewis' funeral.,refuted,Refuted,2680,2171,509,0.004948,9.2752,2.2034,0.0007,,1.5191,2.6378,1,0,1,1,Refuted,Refuted,Refuted,Supported
37,106255,"CNN reported, 'Due to COVID-19, President Donald Trump passes away at 74.",refuted,Refuted,2663,2215,448,0.004533,7.6859,1.3364,0.0006,,1.2181,2.4654,1,0,1,1,Refuted,Refuted,Refuted,Supported
47,112700,Says Joe Biden has 'allowed males to compete in girls' sports.,refuted,NEI,2250,1731,519,0.004846,11.8478,1.7251,0.0007,,1.6116,4.5091,1,0,1,1,Refuted,Refuted,NEI,NEI
38,113082,"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin",refuted,Refuted,3095,2460,635,0.005929,10.9847,1.6023,0.0008,,1.6789,3.6323,1,0,1,1,Refuted,Refuted,Refuted,Supported
48,111177,Transmission of COVID-19 by asymptomatic individuals 'has never been proven.,refuted,NEI,2096,1643,453,0.0044,8.0318,1.4752,0.0006,,1.2267,2.2243,1,0,1,1,Refuted,Refuted,NEI,NEI
39,106716,Says the surge in COVID-19 cases is caused by 'antibody mediated viral enhancement' from the COVID-19 vaccines.,refuted,Refuted,3075,2464,611,0.005714,10.4992,1.7596,0.0009,,2.1215,3.5573,1,0,1,1,Refuted,Refuted,NEI,Supported
49,109036,"Federal agents directly incited people on Jan. 6, 2021, and 'intentionally entrapped' American citizens.",refuted,NEI,3610,2982,628,0.005898,11.2815,1.6251,0.0027,,1.7854,3.27,1,0,1,1,Refuted,Refuted,NEI,NEI
40,119015,"'Antifa now banging on residents' doors in Seattle, demanding food & supplies. If they don't get it, the house gets vandalized.",refuted,Refuted,2950,2394,556,0.005402,11.3945,3.4083,0.001,,1.5672,3.2729,1,0,0,1,Refuted,Refuted,Refuted,Supported
50,102666,"The result of lockdowns 'has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.",refuted,NEI,4101,3456,645,0.006176,13.121,1.6031,0.0119,,2.1826,4.3555,1,0,0,1,Refuted,NEI,NEI,NEI
41,118792,Video shows Joe Biden stuttering after being asked about touching women 'without their permission' on The View.,refuted,Refuted,2883,2335,548,0.005078,11.8971,1.6568,0.0008,,3.193,3.0354,1,0,1,1,Refuted,Refuted,NEI,Supported
42,100049,Says wearing masks has been 'proven ineffective.,refuted,Refuted,4713,4025,688,0.006751,12.6746,1.754,0.0203,,2.9981,4.5694,1,0,1,1,Refuted,Refuted,NEI,Supported
43,111570,'The American military has been completely rebuilt under my administration at a cost of $2.5 trillion.,refuted,Refuted,3711,3170,541,0.005129,12.4897,3.7086,0.0018,,1.9871,3.1225,1,0,0,1,Refuted,Refuted,Refuted,Supported
44,117112,An image shows the Blue Angels performing a maneuver called the 'Hand of God.,refuted,Refuted,2656,2171,485,0.004645,10.6193,1.6658,0.0007,,2.3076,2.9839,1,0,1,1,Refuted,Refuted,NEI,Supported
45,101039,"'500 National Guardsmen being called to Kenosha ahead of the Rittenhouse verdict. Had they done this in the first place, there wouldn't have been a trial.",refuted,Refuted,2897,2339,558,0.005184,10.8405,2.464,0.001,,2.233,2.4149,1,0,0,1,Refuted,Refuted,Refuted,Supported
46,104322,Doctors and nurses who administer the coronavirus vaccine can be 'tried as war criminals.,refuted,Refuted,2837,2317,520,0.005031,13.1594,2.7589,0.0007,,1.7939,4.905,1,0,1,1,Refuted,Refuted,NEI,Supported
47,112700,Says Joe Biden has 'allowed males to compete in girls' sports.,refuted,Refuted,2898,2343,555,0.005302,12.3482,2.4944,0.0007,,1.9783,4.0897,1,0,1,1,Refuted,Refuted,Refuted,Supported
48,111177,Transmission of COVID-19 by asymptomatic individuals 'has never been proven.,refuted,Refuted,2724,2265,459,0.004479,10.9656,2.8306,0.0006,,1.8843,2.4136,1,0,1,1,Refuted,Refuted,Refuted,Supported
49,109036,"Federal agents directly incited people on Jan. 6, 2021, and 'intentionally entrapped' American citizens.",refuted,Refuted,4279,3605,674,0.006416,14.4933,3.2698,0.0028,,2.6399,3.55,1,0,1,1,Refuted,Refuted,Refuted,Supported
50,102666,"The result of lockdowns 'has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.",refuted,Refuted,4618,4063,555,0.005407,14.6203,5.0816,0.0127,,2.5081,2.5579,1,0,0,1,Refuted,Refuted,Refuted,Supported
