idx,claim_id,claim,ground_truth,pred_label,total_tokens,prompt_tokens,completion_tokens,total_cost_usd,e2e_latency_sec,triage_latency,retrieval_text_latency,retrieval_visual_latency,factual_verifier_latency,generator_latency,text_retrieval_calls,image_retrieval_calls,hallucination_free,claim_support_consistency
30,103942,"'Approximately 60,000 Canadians currently live undocumented in the USA.",supported,NEI,1874,1232,642,0.00512,12.6193,1.368,0.0008,,1.8133,5.5169,1,0,1,1
31,119582,'Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election. Every. Single. One.,supported,NEI,1945,1312,633,0.005166,12.8754,1.6121,0.0011,,2.6865,4.3614,1,0,0,1
32,109881,'Murders this year have spiked 27% in Philadelphia.,supported,NEI,1871,1178,693,0.00569,14.1631,1.4717,0.001,,1.2291,4.8562,1,0,1,0
33,118809,'We have a record 9.3 million job openings in the U.S.,supported,Supported,1807,1210,597,0.004906,10.3648,1.4967,0.0008,,1.0802,3.828,1,0,1,1
34,103804,Says Al Gore said in 2009 that 'the North Pole will be ice-free in the summer by 2013 because of man-made global warming.,supported,Supported,1847,1169,678,0.005531,12.7993,1.6431,0.001,,1.4838,4.8629,1,0,0,0
35,106299,Says Joe Biden has said 150 million Americans died from guns and another 120 million from COVID-19,supported,NEI,1985,1354,631,0.005192,12.4208,1.2035,0.0012,,1.3623,5.5348,1,0,0,0
36,109795,"'If you are a hard-working law-abiding citizen who earns $80,000, you don't get a stimulus check. But if you are a convicted murderer or rapist sitting in jail, you do.",supported,NEI,2697,1929,768,0.006597,13.4759,1.5924,0.0031,,2.4307,5.0574,1,0,0,0
37,119714,Says U.S. Rep. Ann Wagner 'voted five times against protecting pre-existing conditions.,supported,NEI,1710,1069,641,0.005153,25.0051,1.7714,0.0007,,1.6913,5.3594,1,0,0,0
38,119350,"Says David Perdue 'hasn't held a single public town hall meeting in six years' and 'sells four meetings a year and a retreat on a private island for a $7,500 corporate PAC check.",supported,NEI,1977,1355,622,0.005227,13.0081,1.3302,0.0014,,1.3362,5.3204,1,0,1,1
39,110971,'Trump lost a trade war that he started.,supported,NEI,1770,1192,578,0.004819,11.3798,1.4995,0.0011,,1.4692,4.5507,1,0,1,1
40,102615,'People don't pretend to be someone else to go in and vote. You just don't see that kind of fraud.,supported,NEI,3636,2963,673,0.005771,12.3461,1.3445,0.0229,,1.9769,4.7762,1,0,1,1
41,110338,"'Some states are only getting 50 tests per day, and the Utah Jazz got 58.",supported,NEI,2074,1390,684,0.005392,15.1227,2.2412,0.0029,,2.2941,5.086,1,0,1,1
42,109982,"'New Zealand let health experts' rather than politicians make decisions about how to deal with COVID-19, 'and as of today they have zero COVID cases.",supported,NEI,1860,1207,653,0.005318,12.3046,1.3398,0.0011,,1.5703,5.1895,1,0,1,0
43,107972,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, 'he immediately cried that Cruz cheated.",supported,NEI,1856,1250,606,0.004943,13.1746,2.2265,0.001,,1.7327,4.5303,1,0,1,1
44,100945,'Immigrants make up a majority of essential workers in places like New York City.,supported,NEI,2012,1375,637,0.005234,12.6136,1.1638,0.0011,,1.8522,3.9773,1,0,1,1
45,113481,Says a 'court has ordered North Carolina to step up significantly its funding for education.,supported,NEI,2476,1768,708,0.006034,13.2147,1.0838,0.0026,,1.574,5.0388,1,0,1,1
46,116879,"'You've raised a lot more money than I have, Bernie.",supported,NEI,1830,1231,599,0.00492,11.4926,1.2961,0.0009,,2.0239,3.8032,1,0,0,1
47,103211,The man next to Mike Pompeo in a November 2020 photo 'is the guy the Trump administration helped get out of jail in 2018 and who is now the 'president' of Afghanistan.,supported,NEI,2377,1557,820,0.006998,14.0464,1.5065,0.0016,,1.6139,6.0085,1,0,1,0
48,110924,Says the U.S. Senate is 'dominated by millionaires' and that he is 'not one of them.,supported,NEI,2052,1392,660,0.005317,14.4091,1.6014,0.001,,2.3321,6.1707,1,0,1,1
49,102232,Stay-at-home orders 'actually are the law of these states.,supported,NEI,1703,1147,556,0.004536,12.9656,1.4131,0.0007,,1.4414,5.0707,1,0,1,1
50,117373,"'Trump just cut the scheduled federal pay raise, stating that he can't do it now because of 'serious economic conditions' in America.",supported,NEI,1711,1118,593,0.004887,11.367,1.1767,0.001,,1.5894,4.4102,1,0,1,1
51,108836,'New data shows in-person learning isn't driving spikes in cases.,supported,NEI,1981,1268,713,0.006014,12.6717,1.5501,0.001,,1.4732,5.4566,1,0,1,1
52,110648,"'Right now, two-thirds of the U.S. Senate is composed of millionaires.",supported,NEI,2727,2070,657,0.00528,13.8715,1.5561,0.0029,,1.8487,5.1359,1,0,1,1
53,105217,Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.,supported,NEI,1850,1161,689,0.005814,13.2333,1.509,0.0009,,1.5997,6.002,1,0,1,1
54,101599,"'Trade agreements like NAFTA and permanent normal trade relations with China, which forced American workers to compete against people making pennies an hour, has resulted in the loss of 160,000 jobs here in Michigan.",supported,NEI,1849,1201,648,0.005499,14.4632,1.6527,0.0013,,1.4526,7.4568,1,0,1,1
55,101049,"'PPP on average probably provided a grant of around $11,000 per employee.",supported,NEI,1867,1185,682,0.005468,12.1611,1.419,0.0012,,1.6065,5.0134,1,0,0,1
56,106866,"Says Joe Biden 'has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.",supported,NEI,1959,1276,683,0.005607,10.9832,1.354,0.0013,,1.6732,4.2816,1,0,1,0
57,108750,COVID-19 is 'here to stay' and 'we need to accept that and be prepared to deal with COVID long term.,supported,NEI,2302,1772,530,0.004551,11.0218,1.2201,0.0025,,1.5575,4.9359,1,0,1,1
58,118742,Says Donald Trump 'proposes cutting a half a billion dollars of local police support.,supported,NEI,1608,1055,553,0.004628,10.483,1.457,0.0009,,1.2097,4.038,1,0,1,1
59,119011,'North Carolina is one of four states' that hasn't opened gyms.,supported,NEI,1764,1160,604,0.005114,10.9823,1.4686,0.0008,,1.1377,4.0415,1,0,1,1
60,102647,'Pot today is not the weed baby boomers were smoking.,supported,NEI,3135,2485,650,0.005458,8.8861,1.2782,0.0055,,1.7052,2.0462,1,0,1,1
61,118010,"On home health workers' low pay and limited benefits, '40% are still on SNAP or Medicaid.",supported,NEI,1889,1219,670,0.00551,13.6441,1.2944,0.0009,,1.5922,6.3185,1,0,1,1
62,118216,"'There have been five randomized controlled, placebo controlled trials that do not show any benefit to hydroxychloroquine.",supported,NEI,1726,1141,585,0.004945,9.128,1.4339,0.0009,,1.2328,2.2434,1,0,1,1
63,113272,'Gov. Wolf is not allowing companies that distribute U.S. flags to ship out orders to be placed at veteran's graves for Memorial Day.,supported,NEI,2546,1946,600,0.004952,10.8637,1.4338,0.0024,,1.3191,2.5659,1,0,0,0
64,110664,"Says Joe Biden 'voted for the Iraq War ... He supported war in Serbia, Syria, Libya.",supported,NEI,1871,1190,681,0.005797,10.2107,1.3938,0.001,,1.2618,3.4103,1,0,1,1
65,104021,"Says 1 in 5 Texans did not have health insurance coverage before the pandemic, and now 'nearly 1 in 3 Texans under the age of 65 don't have access to health care insurance.",supported,NEI,1909,1228,681,0.005699,11.1406,1.4921,0.0013,,1.5012,3.7323,1,0,1,1
66,110793,"Republicans 'have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.",supported,NEI,1810,1208,602,0.005,12.1264,1.4911,0.0012,,1.8043,4.4365,1,0,1,1
67,110175,"'During the 2009 swine flu outbreak, Biden made reckless comments unsupported by science & the experts. The Obama Admin had to clean up his mess & apologize for his ineptitude.",supported,NEI,2166,1481,685,0.005587,13.0906,1.5433,0.0014,,1.8835,3.6694,1,0,0,0
68,106068,'Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.,supported,NEI,1830,1173,657,0.005371,15.6688,2.1566,0.0009,,1.9874,6.6488,1,0,0,0
69,108047,'Senate Democrats just voted to give stimulus checks to criminals in prison.,supported,NEI,2488,1746,742,0.006105,14.0604,1.3499,0.0018,,1.9117,5.6574,1,0,0,1
70,101746,'Three Chinese nationals were apprehended trying to cross our Southern border illegally. Each had flu-like symptoms. Border Patrol quickly quarantined them and assessed any threat of coronavirus.,supported,NEI,2008,1334,674,0.005507,16.8486,1.6557,0.0016,,1.8935,7.9217,1,0,1,0
71,104312,"'Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.",supported,NEI,2169,1512,657,0.005525,14.1267,2.0802,0.0013,,1.4509,5.7788,1,0,0,1
72,119982,"'USPS currently has the most cash on hand in its history, (approximately) $15 billion.",supported,Refuted,2453,1861,592,0.004587,13.1617,1.7602,0.0052,,1.8813,3.7318,1,0,0,0
73,116535,Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,supported,Supported,1841,1177,664,0.005202,14.39,1.5979,0.001,,2.5307,5.3769,1,0,0,0
74,113609,'Welcome 2 Pres Biden's America where inflation is costing households an extra $175 a month.,supported,NEI,2462,1787,675,0.005613,18.6229,1.5263,0.018,,1.8784,5.8189,1,0,0,0
75,116886,Unemployment report shows 'America is bouncing back.,supported,NEI,1863,1262,601,0.004879,14.8889,1.698,0.0008,,2.1403,5.9681,1,0,1,1
76,108075,'Republicans on the Joint Finance Committee removed more than $8 billion in spending increases from Gov. Evers' budget proposal.,supported,NEI,1862,1209,653,0.005456,12.0421,1.5763,0.001,,1.3958,4.3263,1,0,1,1
77,118377,"'The National Academy of Medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.",supported,NEI,1725,1110,615,0.00517,11.714,1.6343,0.0013,,1.3164,4.5473,1,0,0,0
78,109468,'Mike Parson opposes protections for pre-existing conditions.,supported,NEI,1706,1165,541,0.004445,12.8899,1.3187,0.0008,,1.7305,5.6163,1,0,0,0
79,101393,Florida is 'the 45th in state education funding.,supported,NEI,1702,1106,596,0.004977,12.3128,1.5515,0.0007,,1.2778,4.9981,1,0,1,1
80,106883,My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,supported,NEI,1793,1115,678,0.005537,12.7489,1.5222,0.0009,,1.6504,5.0657,1,0,1,1
81,119459,"'Over the past year, Illinois has reduced its unemployment rate more than all of the top 20 most populated states in the nation - and more than our Midwestern peers.",supported,NEI,2142,1411,731,0.006013,15.6305,2.1261,0.0013,,1.939,6.7705,1,0,0,0
82,111760,'There are more job openings than there are people on unemployment' in Iowa.,supported,NEI,1760,1177,583,0.004886,11.7333,1.8929,0.0009,,1.3397,4.5732,1,0,1,1
83,103894,'I'm the only front-line prosecutor in this race that's actually used the resources of the Wisconsin Crime Lab in the prosecution of cases.,supported,NEI,1746,1210,536,0.004272,11.1554,1.449,0.001,,1.6746,3.5038,1,0,0,0
84,105529,'The average family in America forks over more of their hard-earned income to their local hospital than to the IRS.,supported,NEI,1869,1259,610,0.004851,14.7253,1.4475,0.001,,1.9296,6.9501,1,0,0,0
85,103339,'Prescription drug companies are charging Americans prices that are on average 4x higher than what's charged in other countries.,supported,NEI,1743,1094,649,0.005284,14.3153,1.6945,0.001,,1.8397,6.7339,1,0,0,1
86,115192,"Postmaster General Louis DeJoy 'gave $400,000 to Republicans just this year' and has 'between $30 and $75 million in assets of direct competitors to the United States Postal Service.",supported,NEI,3556,2866,690,0.005767,12.7909,1.6358,0.055,,1.8581,4.537,1,0,0,0
87,102752,"'Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation.",supported,NEI,3659,3092,567,0.004964,15.3569,1.6196,0.0058,,1.3506,5.2695,1,0,1,0
88,113317,'Ivermectin has been FDA approved for human use since 1996.,supported,Supported,1698,1140,558,0.004637,12.2408,1.855,0.0008,,1.5018,4.8849,1,0,0,0
89,113951,Current immigration 'apprehension numbers are worse than the 'crisis' Biden/Obama/Pelosi acknowledged in 2014!',supported,NEI,3156,2450,706,0.005931,12.8808,2.0434,0.0125,,2.0149,4.9659,1,0,1,0
90,108515,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,supported,NEI,1796,1215,581,0.004679,12.1035,2.7701,0.0009,,1.8249,3.7103,1,0,1,1
91,112843,Says President Donald Trump 'took more than a month to allocate Congress' emergency funding to tribes - and only did so after tribes sued.,supported,NEI,1969,1275,694,0.005677,14.6506,1.6124,0.0012,,2.0531,6.5005,1,0,1,1
92,117964,It's not currently 'legal for a New York state student to have a glass of fresh whole milk.,supported,Supported,1605,1037,568,0.004513,11.1995,1.4735,0.0008,,1.5042,4.2776,1,0,0,0
93,114765,Says Texas 'either is near the bottom or at the very bottom when it comes to testing per capita.,supported,NEI,3464,2858,606,0.005255,12.6353,1.474,0.0188,,1.708,5.74,1,0,1,1
94,114623,"'All the billionaires in America, their net worth combined ... has increased by $800 billion' during the pandemic.",supported,NEI,2591,1929,662,0.005438,13.2708,2.4173,0.002,,1.6536,5.2098,1,0,0,0
95,109485,Says gloves shouldn't be worn in public because 'if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.,supported,NEI,1844,1171,673,0.005827,13.117,1.6877,0.0012,,1.4124,5.8696,1,0,1,1
96,107673,"'Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.",supported,NEI,1909,1271,638,0.005191,12.5916,1.5465,0.0012,,1.6987,5.0595,1,0,0,0
97,118733,'Southwest Airlines announce they will no longer terminate employees over the mandate.,supported,NEI,2080,1422,658,0.005513,12.3123,1.3486,0.0012,,1.1869,5.4743,1,0,1,1
98,112965,Says Gov. Tony Evers' 2021-22 state budget 'increases taxes $1 billion +',supported,NEI,1745,1122,623,0.005115,11.8927,1.4356,0.0009,,1.4514,4.815,1,0,1,1
99,113439,"'Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.",supported,NEI,3557,2826,731,0.00634,16.5562,1.5654,0.0049,,1.7575,8.8971,1,0,1,1
100,109291,'Sadly during the course of the pandemic one-third of our small businesses have closed.,supported,NEI,1876,1205,671,0.005337,16.2153,3.5391,0.001,,1.8584,5.1489,1,0,0,1
101,115338,"'Infection rates in Allegany, Cattaraugus and Chautauqua counties have consistently been among the lowest in the state.",supported,Supported,1939,1227,712,0.005899,15.0993,1.796,0.0009,,1.6105,5.8338,1,0,1,1
102,115948,National polls have 'never predicted who will be president from our party. Carter was in the single digits a few months before caucuses. Bill Clinton was. Obama - 20 points behind in the national polls roughly.,supported,NEI,1937,1244,693,0.005709,11.9047,1.7242,0.0013,,1.4203,4.9729,1,0,1,1
103,103294,The Biden administration 'published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.,supported,NEI,2261,1569,692,0.005684,11.9579,2.1291,0.0014,,1.6385,4.5208,1,0,1,1
104,117579,"'In 2020, more people voted in America than ever in the history of America, in the middle of a once-in-a-century pandemic.",supported,NEI,1928,1265,663,0.005461,13.522,1.8381,0.001,,2.3167,5.4378,1,0,1,1
105,117742,"'80% of the American people support our Dreamers. Over 70% think they should have a path to citizenship, and that's Democrats, Republicans, independents.",supported,NEI,1962,1254,708,0.005933,14.3015,1.2838,0.0011,,2.0191,6.4242,1,0,0,0
106,110851,"During his tenure as mayor of New York City, 'street homelessness decreased by 28 percent.",supported,NEI,1805,1134,671,0.005623,24.2485,1.562,0.0009,,12.4576,6.1398,1,0,1,1
107,108373,"The Trump administration worked to free 5,000 Taliban prisoners.",supported,NEI,1672,1094,578,0.004741,12.453,1.9473,0.0007,,1.6686,4.9849,1,0,1,1
108,108073,"'Until this week, they [OSHA] weren't even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.",supported,NEI,1860,1205,655,0.005403,13.4534,1.2647,0.0012,,1.7161,5.0457,1,0,1,1
109,114567,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,supported,Supported,2126,1515,611,0.005007,12.9226,1.6351,0.0011,,1.6463,5.5312,1,0,0,1
110,110857,Says a leader of the Blackfeet Nation tribe designed the current Washington Redskins logo and once said it 'made us all proud to have an Indian on a big-time team.,supported,NEI,1861,1259,602,0.005064,14.7849,1.5497,0.0014,,1.8586,6.4992,1,0,1,1
111,108835,'Raising the debt limit is paying our old debts. It has nothing to do with new spending.,supported,NEI,1774,1192,582,0.004727,10.613,1.3641,0.0009,,1.8721,3.8022,1,0,0,0
112,106213,"Says for the coronavirus, 'the death rate in Texas, per capita of 29 million people, we're one of the lowest in the country.",supported,NEI,2118,1366,752,0.006421,12.8249,1.5988,0.0011,,1.7892,5.809,1,0,1,1
113,112926,"President Joe Biden's American Relief Plan 'has a lot of money in it for schools, but if you really look at it ... it says that the school money is going to go out until the year 2028.",supported,Supported,1688,1119,569,0.004727,11.9368,1.4357,0.0013,,2.2653,4.0641,1,0,1,1
114,114731,A long list shows 'new CDC guidelines for reopening schools.,supported,NEI,2716,2144,572,0.004845,10.2136,1.2371,0.0059,,1.399,3.6486,1,0,1,1
115,104465,"'We've got 115,000 miles of roads in this state and 90% is owned by the locals.",supported,NEI,1869,1199,670,0.005228,13.1081,1.4092,0.0011,,2.1191,4.2755,1,0,1,0
116,102837,"'There's an Amazon distribution center that was advertising, last time I was there, up to $12.75 an hour. Your parents made that three decades ago.",supported,Supported,3294,2573,721,0.006003,13.4313,1.4887,0.0164,,1.9983,4.6508,1,0,0,1
117,116674,'Donald Trump and Thom Tillis opposed legislation that would lower the price of insulin and other prescription drugs.,supported,NEI,1955,1312,643,0.005395,12.9135,1.9706,0.001,,1.4196,5.4773,1,0,0,1
118,107780,A white armed-robbery suspect was sentenced to two years in jail while a black armed-robbery suspect was sentenced to 26 years in prison by the same Florida judge.,supported,NEI,2038,1335,703,0.00583,14.6706,1.6729,0.0012,,1.7831,4.5851,1,0,1,1
119,107623,'Central Park actually used to be a town called Seneca Village' founded by African Americans in 1825.,supported,NEI,1919,1218,701,0.005705,16.2045,1.5525,0.0009,,1.5491,7.3308,1,0,1,1
120,117301,"Says Mike Bloomberg is 'a candidate who in 2015 stated, and I quote: 'I, for example, am not in favor, have never been in favor of raising the minimum wage.",supported,Supported,1745,1207,538,0.004708,10.8893,1.7502,0.0013,,1.262,4.3432,1,0,1,1
121,117738,'Regulating and taxing marijuana-much like we do alcohol-would generate more than $165M in revenue starting in 2022',supported,Supported,2035,1368,667,0.005569,13.7994,1.7912,0.0014,,1.5287,6.2444,1,0,1,1
122,120201,"'The average hospital stay for a case of COVID-19 costs about $17,064. The vaccine is free.",supported,NEI,1771,1188,583,0.004821,12.2253,1.6612,0.0009,,1.5106,4.5691,1,0,1,1
123,115421,Federal agents in Portland have been 'kidnapping and holding citizens without charges.,supported,NEI,2956,2312,644,0.005243,16.5748,1.4605,0.0102,,1.6572,5.8994,1,0,1,1
124,101932,'Bill Gates told us about the coronavirus in 2015.,supported,Supported,1680,1048,632,0.005131,11.9222,1.3576,0.0007,,1.1445,4.7409,1,0,1,0
125,109056,"'In 2019, Republicans stripped $40 million from the budget for lead pipe replacement - because they thought it helped MKE too much.",supported,Supported,2081,1373,708,0.005911,13.3779,1.2148,0.0014,,1.2957,6.0086,1,0,0,1
126,116993,"'When Fidel Castro came into office, you know what he did? He had a massive literacy program.",supported,NEI,1849,1167,682,0.005688,17.4132,1.4299,0.0009,,1.3474,6.5791,1,0,1,1
127,111613,'Everyone on this stage except Amy (Klobuchar) and me is either a billionaire or is receiving help from PACs that can do unlimited spending.,supported,NEI,2036,1399,637,0.005344,11.9988,1.1702,0.0012,,1.3865,5.4522,1,0,0,0
128,118229,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,supported,NEI,1901,1291,610,0.00498,12.7252,1.6046,0.0011,,1.5239,4.3995,1,0,1,1
129,106169,'Africans living in China now being forced to sleep outside in the cold' as 'Chinese nationals blame them for the rising number of new coronavirus cases in the country.,supported,NEI,1826,1131,695,0.005811,13.4045,1.5259,0.0012,,1.5351,5.9278,1,0,1,1
130,108859,Abigail Spanberger 'has voted with Nancy Pelosi over 90% of the time...',supported,NEI,2116,1449,667,0.005459,23.5127,1.544,0.0009,,1.3763,16.0408,1,0,1,1
131,114629,"'Traditionally, the Speaker says: 'Members of Congress, I have the high privilege and distinct honor of presenting to you the President of the United States.' (Tonight) Speaker Pelosi said, 'Members of Congress, the President of the United States.",supported,NEI,2561,1939,622,0.005251,13.819,1.4572,0.0143,,1.3502,6.2731,1,0,0,1
132,117395,"'Becerra supports Bernie's government takeover of your health care, eliminating your employer-provided coverage.",supported,NEI,2110,1416,694,0.005745,16.1133,1.9984,0.001,,2.1296,7.6001,1,0,1,1
133,105211,These 11 mass shootings involved an AR-15-style weapon.,supported,NEI,1713,1133,580,0.004687,11.4831,1.3189,0.0008,,1.3284,4.9146,1,0,1,0
134,114831,"'North Carolina during this pandemic had among the lowest COVID-related deaths, as well as job losses per capita.",supported,NEI,2993,2365,628,0.005171,16.7288,1.3344,0.008,,1.8942,6.3619,1,0,1,0
135,116915,"'The 550 U.S. billionaires together are worth $2.5 trillion. If we confiscated 100% of their wealth, we'd raise enough to run the federal government for less than eight months.",supported,NEI,2302,1474,828,0.006957,18.1325,1.6536,0.0014,,2.0565,9.5982,1,0,0,1
136,117942,Says Melania Trump lied under oath in 2013 about graduating from college with a bachelor's degree in architecture.,supported,NEI,1636,1058,578,0.00482,11.152,1.5968,0.0009,,1.0854,4.7427,1,0,0,1
137,103217,"'324,000 pregnant people experience domestic violence during their pregnancy.",supported,NEI,1794,1162,632,0.005216,13.2237,1.5186,0.0007,,1.1626,6.4336,1,0,1,1
138,108341,Upton 'voted a dozen times to kick thousands of Michigan families off their health insurance and eliminate protections for preexisting conditions',supported,NEI,2695,2081,614,0.005042,15.5449,1.4128,0.0027,,1.2147,7.2774,1,0,0,1
139,100307,"'It wasn't all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.",supported,Supported,2591,1924,667,0.005772,16.1705,2.1735,0.0059,,1.6795,7.4241,1,0,1,1
